MIR1185-1	4	626.208	604.171	107.862	728.925	435.345
MIR1185-2	4	677.067	632.321	88.1567	693.951	481.197
MIR1193	5	596.965	610.611	157.129	829.638	350.037
MIR1197	5	607.917	640.992	72.9467	733.676	545.14
MIR134	2	521.026	521.026	112.177	633.203	408.85
MIR154	6	607.125	592.341	89.7811	742.178	480.392
MIR299	12	590.65	631.643	112.755	801.876	411.716
MIR300	3	486.808	367.905	245.464	590.9	26.008
MIR323A	6	618.677	639.066	66.6073	733.676	545.14
MIR323B	3	477.458	464.945	171.538	668.499	248.877
MIR329-1	2	608.533	608.533	127.382	735.916	481.151
MIR329-2	3	602.108	619.254	89.0834	735.916	519.737
MIR369	13	733.846	692.952	81.8493	790.253	537.588
MIR376A1	2	495.288	495.288	43.0138	538.301	452.274
MIR376A2	7	673.825	598.744	152.63	731.847	327.953
MIR376B	5	637.446	603.826	106.766	731.847	452.274
MIR376C	7	704.701	668.246	114.255	783.085	399.045
MIR377	8	573.221	612.858	124.174	849.379	492.506
MIR379	5	623.005	646.998	93.0828	794.652	537.483
MIR380	1	711.404	711.404	0	711.404	711.404
MIR382	4	630.13	601.617	121.541	737.358	408.85
MIR409	5	607.987	653.975	92.6537	788.714	537.588
MIR410	12	750.561	714.487	91.439	825.396	529.059
MIR411	6	599.823	629.078	84.6499	794.304	536.241
MIR412	11	646.089	679.71	81.5829	788.714	537.588
MIR485	10	639.599	598.121	150.973	792.722	189.866
MIR487A	4	599.925	600.426	69.7513	697.326	504.529
MIR487B	6	717.692	663.729	187.629	855.147	267.883
MIR494	7	670.608	629.902	139.062	829.638	350.037
MIR495	6	494.547	503.915	42.9107	573.864	452.439
MIR496	7	577.797	574.5	93.1161	695.216	384.147
MIR539	3	605.3	626.435	47.5909	692.341	581.664
MIR541	6	667.179	651.012	103.204	803.075	513.769
MIR543	6	782.508	701.024	155.415	856.696	445.724
MIR544A	1	654.053	654.053	0	654.053	654.053
MIR654	6	572.76	548.976	149.453	731.847	327.953
MIR655	3	617.989	618.076	3.40694	622.291	613.947
MIR656	4	693.828	720.998	109.192	896.62	599.716
MIR668	7	657.227	650.996	73.2222	792.722	558.391
MIR758	6	618.695	643.435	57.0848	733.676	572.67
MIR889	1	474.93	474.93	0	474.93	474.93
