MIR1185-1	4	722.356	684.071	123.517	808.781	482.79
MIR1185-2	4	710.18	668.58	138.221	811.49	442.47
MIR1193	5	824.191	744.802	184.825	915.698	396.242
MIR1197	5	690.999	704.79	152.305	873.615	466.745
MIR134	2	619.963	619.963	43.3796	663.342	576.583
MIR154	6	859.952	772.313	147.294	896.993	512.894
MIR299	12	588.679	615.413	120.769	822.279	374.652
MIR300	3	468.095	346.837	231.752	549.905	22.5108
MIR323A	6	650.311	678.627	149.463	873.615	466.745
MIR323B	3	443.825	522.939	119.152	691.344	433.65
MIR329-1	2	607.781	607.781	31.7291	639.51	576.052
MIR329-2	3	639.51	635.228	44.2433	687.147	579.027
MIR369	13	825.535	809.524	80.8862	925.818	625.999
MIR376A1	2	534.09	534.09	4.03308	538.123	530.057
MIR376A2	7	840.109	693.29	222.604	882.638	251.568
MIR376B	5	677.358	677.116	103.726	854.129	538.123
MIR376C	7	848.937	791.882	134.288	882.638	482.947
MIR377	8	817.052	803.373	100.953	921.908	573.387
MIR379	5	588.941	655.536	107.157	847.885	564.73
MIR380	1	580.538	580.538	0	580.538	580.538
MIR382	4	690.845	715.266	141.361	902.793	576.583
MIR409	5	796.449	755.085	78.8283	834.123	625.999
MIR410	12	844.643	818.714	93.8551	925.818	615.395
MIR411	6	584.952	621.849	63.2014	719.029	563.475
MIR412	11	816.042	801.173	84.3523	925.818	625.999
MIR485	10	725.664	690.714	174.456	921.14	277.029
MIR487A	4	787.932	725.221	171.575	880.954	444.064
MIR487B	6	826.7	730.717	222.143	904.28	267.368
MIR494	7	784.109	724.978	172.095	915.698	396.242
MIR495	6	594.325	574.593	85.5043	653.385	399.133
MIR496	7	862.836	849.17	57.5061	926.227	730.264
MIR539	3	581.499	628.03	96.7455	762.722	539.87
MIR541	6	811.334	824.128	69.7382	917.484	732.407
MIR543	6	799.031	737.42	149.368	903.668	525.501
MIR544A	1	584.007	584.007	0	584.007	584.007
MIR654	6	650.312	596.995	189.188	854.129	251.568
MIR655	3	637.419	680.699	91.8087	808.351	596.328
MIR656	4	828.563	824.531	70.6686	895.217	745.781
MIR668	7	790.77	770.707	99.3634	921.14	588.419
MIR758	6	634.85	667.828	100.692	873.615	567.907
MIR889	1	450.891	450.891	0	450.891	450.891
