MIR1185-1	4	722.356	123.517	684.071	482.79	808.781
MIR1185-2	4	710.18	138.221	668.58	442.47	811.49
MIR1193	5	824.191	184.825	744.802	396.242	915.698
MIR1197	5	690.999	152.305	704.79	466.745	873.615
MIR134	2	619.963	43.3796	619.963	576.583	663.342
MIR154	6	859.952	147.294	772.313	512.894	896.993
MIR299	12	588.679	120.769	615.413	374.652	822.279
MIR300	3	468.095	231.752	346.837	22.5108	549.905
MIR323A	6	650.311	149.463	678.627	466.745	873.615
MIR323B	3	443.825	119.152	522.939	433.65	691.344
MIR329-1	2	607.781	31.7291	607.781	576.052	639.51
MIR329-2	3	639.51	44.2433	635.228	579.027	687.147
MIR369	13	825.535	80.8862	809.524	625.999	925.818
MIR376A1	2	534.09	4.03308	534.09	530.057	538.123
MIR376A2	7	840.109	222.604	693.29	251.568	882.638
MIR376B	5	677.358	103.726	677.116	538.123	854.129
MIR376C	7	848.937	134.288	791.882	482.947	882.638
MIR377	8	817.052	100.953	803.373	573.387	921.908
MIR379	5	588.941	107.157	655.536	564.73	847.885
MIR380	1	580.538	0	580.538	580.538	580.538
MIR382	4	690.845	141.361	715.266	576.583	902.793
MIR409	5	796.449	78.8283	755.085	625.999	834.123
MIR410	12	844.643	93.8551	818.714	615.395	925.818
MIR411	6	584.952	63.2014	621.849	563.475	719.029
MIR412	11	816.042	84.3523	801.173	625.999	925.818
MIR485	10	725.664	174.456	690.714	277.029	921.14
MIR487A	4	787.932	171.575	725.221	444.064	880.954
MIR487B	6	826.7	222.143	730.717	267.368	904.28
MIR494	7	784.109	172.095	724.978	396.242	915.698
MIR495	6	594.325	85.5043	574.593	399.133	653.385
MIR496	7	862.836	57.5061	849.17	730.264	926.227
MIR539	3	581.499	96.7455	628.03	539.87	762.722
MIR541	6	811.334	69.7382	824.128	732.407	917.484
MIR543	6	799.031	149.368	737.42	525.501	903.668
MIR544A	1	584.007	0	584.007	584.007	584.007
MIR654	6	650.312	189.188	596.995	251.568	854.129
MIR655	3	637.419	91.8087	680.699	596.328	808.351
MIR656	4	828.563	70.6686	824.531	745.781	895.217
MIR668	7	790.77	99.3634	770.707	588.419	921.14
MIR758	6	634.85	100.692	667.828	567.907	873.615
MIR889	1	450.891	0	450.891	450.891	450.891
